X,Y,OBJECTID,CidadeTipo,Cidade,icon_url
40.3971022800001,-12.9721879799999,106,"52",Metuge,./0.png
39.8550528000001,-12.9770756099999,107,"52",Ancuabe,./0.png
35.6423454000001,-13.0869378899999,109,"52",Muembe,./0.png
37.4990349600001,-13.1997527999999,110,"52",Marrupa,./0.png
35.4086226000001,-13.36076352,112,"52",Chimbonila,./0.png
36.1217955600001,-13.4730663299999,114,"52",Malanga,./0.png
38.81546388,-13.61842344,115,"52",Namuno,./0.png
37.16105256,-13.87618164,116,"52",Maúa,./0.png
35.43106068,-13.92193314,117,"52",Massangulo,./0.png
35.6505051600001,-14.3518419,118,"52",Mandimba,./0.png
32.8761864000001,-18.93542859,119,"52",Manica,./0.png
32.7727242,-20.45026782,121,"52",Espungabera,./0.png
35.2008284400001,-21.53564073,123,"52",Inhassoro,./0.png
32.9518929600001,-21.54475593,124,"52",Massangena,./0.png
35.3210180400001,-21.99850272,125,"52",Vilanculos,./0.png
34.1330148000001,-22.03963848,126,"52",Mabote,./0.png
31.6776333600001,-22.07914353,127,"52",Vila Eduardo Mondlane,./0.png
34.3848304800001,-23.0890521599999,129,"52",Funhalouro,./0.png
35.38170252,-23.3288364599999,130,"52",Massinga,./0.png
35.34451668,-23.65765191,132,"52",Morrumbene,./0.png
32.6255112000001,-23.85109332,133,"52",Mabalane,./0.png
35.3469085200001,-23.85893628,134,"52",Maxixe,./0.png
35.1513673200001,-23.88401226,136,"52",Homo¡ne,./0.png
32.15756988,-23.9195213099999,137,"52",Massingir,./0.png
34.7291258400001,-24.06285288,138,"52",Panda,./0.png
35.3179702800001,-24.1120377,139,"52",Jangamo,./0.png
35.0190010800001,-24.4684391399999,140,"52",Inharrime,./0.png
33.0143738400001,-24.49921797,141,"52",Caniçado,./0.png
33.0051384000001,-24.52743909,142,"52",Chókwè,./0.png
34.7410202400001,-24.7222805399999,143,"52",Quissico,./0.png
33.0971680800001,-25.0281562499999,144,"52",Macia,./0.png
40.35652164,-11.3462982,146,"52",Mocímboa da Praia,./0.png
39.5532151200001,-11.6557597799999,147,"52",Mueda,./0.png
39.0002518800001,-13.12571331,148,"52",Montepuez,./0.png
38.99973672,-13.1257267199999,149,"52",Montepuez,./0.png
35.31883248,-22.0008582899999,150,"52",Vilankulo,./0.png
33.88201128,-24.7116737699999,151,"52",Manjacaze,./0.png
33.5320664400001,-24.6882018599999,152,"52",Chibuto,./0.png
32.6527977600001,-25.0255203299999,154,"52",Magude,./0.png
33.3706320000001,-20.8260040499999,158,"52",Chitobe,./0.png
33.7943649600001,-25.01967618,159,"52",Chongoene,./0.png
33.5227586400001,-22.8301219799999,160,"52",Chigubo,./0.png
38.5701714,-13.3464860999999,163,"52",Balama,./0.png
36.26409132,-12.55912497,183,"52",Mavago,./0.png
32.4914245200001,-25.93661121,412,"52",Cidade da Matola,./0.png
